State,Nuclear,Coal,Natural Gas,Peroleum,Hydro,Geothermal,Solar,Wind,Biomass/Other,latitude,longitude
Alabama,27.4,27.2,36.5,0.1,6.6,0,0,0,2.2,32.7665062,-86.8403091
Alaska,0,10.9,47.5,12.6,25.4,0,0,2.6,1,63.1742058,-153.7042694
Arizona,28.7,31.9,29.8,0,5.8,0,3.1,0.4,0.2,34.2930717,-111.6646881
Arkansas,24.9,39,26.7,0.1,6.6,0,0,0,2.7,34.8999214,-92.4388733
California,9.3,0.2,59.4,0,7.1,6.2,7.6,6.2,4,37.2550964,-119.6175232
Colorado,0,60.1,22.5,0,2.3,0,0.6,14.2,0.3,38.9985428,-105.5478134
Connecticut,46.2,1.6,46.1,1.2,1.2,0,0.1,0,3.7,41.5735016,-72.7383041
Delaware,0,7.7,88.4,2,0,0,0.8,0.1,1,39.0081253,-75.4674759
District of Columbia,0,0,100,0,0,0,0,0,0,38.906189,-77.0172653
Florida,11.8,18.4,66.1,0.2,0.1,0,0.1,0,3.3,28.4925823,-82.4722214
Georgia,26.4,29.1,39.1,0.1,1.7,0,0.1,0,3.5,32.6483307,-83.4445572
Hawaii,0,14,0.6,69.8,1.1,2.3,0.8,6.1,5.3,19.5985165,-155.5185547
Idaho,0,0.5,24.9,0,53.8,0.6,0,16.2,3.9,44.3890305,-114.6594162
Illinois,50.1,38,5.7,0,0.1,0,0,5.5,0.4,40.1139374,-89.1587677
Indiana,0,73.4,20.8,0.2,0.4,0,0.2,4.3,0.8,39.9198036,-86.2817993
Iowa,9.2,53.3,4.3,0.1,1.4,0,0,31.3,0.5,42.0746994,-93.4999695
Kansas,18.9,53.7,3.2,0.1,0,0,0,23.9,0.2,38.484726,-98.3801727
Kentucky,0,88,7.2,0.2,4.1,0,0,0,0.6,37.5272331,-85.2876205
Louisiana,14.2,18,63.9,0.1,0.9,0,0,0,2.9,30.9665108,-91.8519058
Maine,0,0.8,25.4,4.4,29.7,0,0,10.5,29.3,45.3152809,-69.203949
Maryland,40.2,38.3,12.4,0.7,4.5,0,0.4,1.2,2.4,38.9525223,-76.7012177
Massachusetts,15.5,7,64.3,2.6,1.4,0,2.1,0.7,6.5,42.1561852,-71.5661926
Michigan,25.7,47.1,19.5,0.1,0.9,0,0,4.2,2.6,44.8626175,-85.7351379
Minnesota,20.9,44.1,13.1,0.1,0.9,0,0,17,3.8,46.3493538,-94.1983795
Mississippi,18.1,9.9,69.8,0,0,0,0,0,2.3,32.7218018,-89.65625
Missouri,12.5,78.1,5.6,0.1,2.3,0,0,1.2,0.2,38.3679657,-92.4778824
Montana,0,56.7,2.6,0.1,32.9,0,0,6.6,1.1,47.0334816,-109.6450806
Nebraska,26.3,61.5,1.2,0.1,2.8,0,0,8,0.2,41.5272713,-99.8111038
Nevada,0,6.8,73.2,0,5.9,8.8,4.4,0.8,0.1,39.3564186,-116.6554108
New Hampshire,47,4.6,30,0.9,6.9,0,0,2.1,8.4,43.6855278,-71.5775986
New Jersey,44.2,2.4,50.1,0.4,-0.2,0,1.1,0,2,40.1387787,-74.6769104
New Mexico,0,62.2,28.9,0.2,0.4,0,2,6.3,0,34.4213219,-106.1084061
New York,31.9,1.7,40.6,1.3,19.1,0,0.1,2.8,2.4,42.9370804,-75.6106949
North Carolina,32.6,31.4,28.3,0.3,3.8,0,1.4,0,2.1,35.5393448,-79.1854095
North Dakota,0,75.3,1.2,0.1,5.7,0,0,17.7,0.1,47.4462967,-100.469429
Ohio,14.2,59.6,23.8,0.2,0.4,0,0.1,1,0.7,40.4130516,-82.7112122
Oklahoma,0,32.7,45.2,0,3.2,0,0,18.4,0.4,35.582695,-97.5086136
Oregon,0,4,27.4,0,54.9,0.3,0.1,11.3,1.9,43.9388123,-120.5585861
Pennsylvania,37.3,30.4,27.9,0.3,1,0,0,1.6,1.6,40.8965111,-77.8387527
Rhode Island,0,0,94.9,1.6,0.1,0,0.2,0.2,3,41.4887123,-71.4543228
South Carolina,55.1,23.5,16.9,0.2,2,0,0,0,2.4,33.9038277,-80.8937607
South Dakota,0,15.4,9.1,0.2,49.8,0,0,25.5,0,44.4361496,-100.2305069
Tennessee,33.1,40.6,12.3,0.2,12.2,0,0.1,0.1,1.4,35.8430023,-86.3430481
Texas,8.7,27,53.4,0,0.2,0,0.1,10,0.6,31.4627552,-99.3330307
Utah,0,76,19.3,0,1.4,1.2,0.1,1.5,0.4,39.3237381,-111.6782379
Vermont,0,0,0.1,0.2,59.5,0,3.1,15.4,21.7,44.0752029,-72.6626892
Virginia,33.3,20.8,39.3,1.3,-0.1,0,0,0,5.4,37.5127831,-78.6980972
Washington,7.4,4.6,12,0,67.6,0,0,6.5,1.8,47.411293,-120.5562668
West Virginia,0,94.2,1.8,0.2,1.8,0,0,1.9,0,38.6424141,-80.6136169
Wisconsin,15,56.1,20.3,0.1,3.4,0,0,2.5,2.6,44.6417885,-89.7367401
Wyoming,0,88.2,2.3,0.1,1.8,0,0,7.7,0,42.9995766,-107.5515137